x,y,red,green,blue,alpha
0,28,251,251,251,255
0,29,249,249,249,255
0,30,252,252,252,255
1,28,215,215,215,255
1,29,186,186,186,255
1,30,225,225,225,255
1,31,254,254,254,255
2,28,204,204,204,255
2,29,152,152,152,255
2,30,201,201,201,255
2,31,248,248,248,255
3,24,253,253,253,255
3,25,251,251,251,255
3,26,253,253,253,255
3,28,216,216,216,255
3,29,145,145,145,255
3,30,120,120,120,255
3,31,186,186,186,255
3,32,252,252,252,255
4,18,254,254,254,255
4,19,254,254,254,255
4,20,253,253,253,255
4,21,234,234,234,255
4,22,211,211,211,255
4,23,200,200,200,255
4,24,194,194,194,255
4,25,188,188,188,255
4,26,227,227,227,255
4,28,230,230,230,255
4,29,160,160,160,255
4,30,137,137,137,255
4,31,159,159,159,255
4,32,211,211,211,255
4,33,249,249,249,255
4,34,240,240,240,255
4,35,199,199,199,255
4,36,207,207,207,255
4,37,237,237,237,255
4,38,224,224,224,255
4,39,233,233,233,255
4,40,253,253,253,255
5,14,252,252,252,255
5,15,243,243,243,255
5,16,252,252,252,255
5,17,239,239,239,255
5,18,199,199,199,255
5,19,194,194,194,255
5,20,212,212,212,255
5,21,185,185,185,255
5,22,139,139,139,255
5,23,116,116,116,255
5,24,114,114,114,255
5,25,132,132,132,255
5,26,204,204,204,255
5,27,251,251,251,255
5,28,233,233,233,255
5,29,158,158,158,255
5,30,118,118,118,255
5,31,120,120,120,255
5,32,141,141,141,255
5,33,167,167,167,255
5,34,149,149,149,255
5,35,114,114,114,255
5,36,144,144,144,255
5,37,162,162,162,255
5,38,142,142,142,255
5,39,172,172,172,255
5,40,219,219,219,255
5,41,241,241,241,255
5,42,253,253,253,255
6,14,213,213,213,255
6,15,133,133,133,255
6,16,191,191,191,255
6,17,219,219,219,255
6,18,180,180,180,255
6,19,120,120,120,255
6,20,93,93,93,255
6,21,103,103,103,255
6,22,109,109,109,255
6,23,78,78,78,255
6,24,78,78,78,255
6,25,95,95,95,255
6,26,120,120,120,255
6,27,178,178,178,255
6,28,164,164,164,255
6,29,94,94,94,255
6,30,104,104,104,255
6,31,120,120,120,255
6,32,80,80,80,255
6,33,72,72,72,255
6,34,75,75,75,255
6,35,67,67,67,255
6,36,91,91,91,255
6,37,87,87,87,255
6,38,81,81,81,255
6,39,110,110,110,255
6,40,137,137,137,255
6,41,180,180,180,255
6,42,241,241,241,255
6,43,253,253,253,255
6,44,253,253,253,255
7,14,239,239,239,255
7,15,107,107,107,255
7,16,83,83,83,255
7,17,198,198,198,255
7,18,215,215,215,255
7,19,121,121,121,255
7,20,102,102,102,255
7,21,93,93,93,255
7,22,85,85,85,255
7,23,65,65,65,255
7,24,52,52,52,255
7,25,46,46,46,255
7,26,39,39,39,255
7,27,47,47,47,255
7,28,57,57,57,255
7,29,69,69,69,255
7,30,98,98,98,255
7,31,88,88,88,255
7,32,67,67,67,255
7,33,83,83,83,255
7,34,63,63,63,255
7,35,49,49,49,255
7,36,55,55,55,255
7,37,39,39,39,255
7,38,42,42,42,255
7,39,50,50,50,255
7,40,66,66,66,255
7,41,125,125,125,255
7,42,186,186,186,255
7,43,218,218,218,255
7,44,232,232,232,255
8,14,250,250,250,255
8,15,106,106,106,255
8,16,67,67,67,255
8,17,91,91,91,255
8,18,128,128,128,255
8,19,84,84,84,255
8,20,108,108,108,255
8,21,99,99,99,255
8,22,76,76,76,255
8,23,35,35,35,255
8,24,21,21,21,255
8,25,19,19,19,255
8,26,22,22,22,255
8,27,24,24,24,255
8,28,29,29,29,255
8,29,69,69,69,255
8,30,69,69,69,255
8,31,46,46,46,255
8,32,51,51,51,255
8,33,64,64,64,255
8,34,45,45,45,255
8,35,34,34,34,255
8,36,46,46,46,255
8,37,54,54,54,255
8,38,75,75,75,255
8,39,97,97,97,255
8,40,106,106,106,255
8,41,109,109,109,255
8,42,128,128,128,255
8,43,163,163,163,255
8,44,184,184,184,255
9,12,240,240,240,255
9,13,226,226,226,255
9,14,219,219,219,255
9,15,114,114,114,255
9,16,50,50,50,255
9,17,34,34,34,255
9,18,52,52,52,255
9,19,40,40,40,255
9,20,47,47,47,255
9,21,65,65,65,255
9,22,48,48,48,255
9,23,43,43,43,255
9,24,42,42,42,255
9,25,31,31,31,255
9,26,19,19,19,255
9,27,14,14,14,255
9,28,19,19,19,255
9,29,29,29,29,255
9,30,27,27,27,255
9,31,26,26,26,255
9,32,30,30,30,255
9,33,35,35,35,255
9,34,34,34,34,255
9,35,39,39,39,255
9,36,44,44,44,255
9,37,45,45,45,255
9,38,57,57,57,255
9,39,76,76,76,255
9,40,92,92,92,255
9,41,101,101,101,255
9,42,127,127,127,255
9,43,146,146,146,255
9,44,185,185,185,255
9,45,254,254,254,255
10,11,221,221,221,255
10,12,157,157,157,255
10,13,135,135,135,255
10,14,106,106,106,255
10,15,63,63,63,255
10,16,88,88,88,255
10,17,49,49,49,255
10,18,38,38,38,255
10,19,43,43,43,255
10,20,46,46,46,255
10,21,47,47,47,255
10,22,53,53,53,255
10,23,33,33,33,255
10,24,46,46,46,255
10,25,48,48,48,255
10,26,27,27,27,255
10,27,48,48,48,255
10,28,38,38,38,255
10,29,20,20,20,255
10,30,21,21,21,255
10,31,28,28,28,255
10,32,27,27,27,255
10,33,23,23,23,255
10,34,38,38,38,255
10,35,40,40,40,255
10,36,30,30,30,255
10,37,30,30,30,255
10,38,32,32,32,255
10,39,47,47,47,255
10,40,66,66,66,255
10,41,66,66,66,255
10,42,66,66,66,255
10,43,101,101,101,255
10,44,167,167,167,255
10,45,211,211,211,255
10,46,251,251,251,255
11,10,252,252,252,255
11,11,151,151,151,255
11,12,88,88,88,255
11,13,66,66,66,255
11,14,48,48,48,255
11,15,35,35,35,255
11,16,69,69,69,255
11,17,76,76,76,255
11,18,41,41,41,255
11,19,31,31,31,255
11,20,46,46,46,255
11,21,62,62,62,255
11,22,66,66,66,255
11,23,60,60,60,255
11,24,82,82,82,255
11,25,85,85,85,255
11,26,81,81,81,255
11,27,76,76,76,255
11,28,61,61,61,255
11,29,35,35,35,255
11,30,29,29,29,255
11,31,37,37,37,255
11,32,32,32,32,255
11,33,24,24,24,255
11,34,30,30,30,255
11,35,33,33,33,255
11,36,31,31,31,255
11,37,36,36,36,255
11,38,38,38,38,255
11,39,32,32,32,255
11,40,32,32,32,255
11,41,39,39,39,255
11,42,38,38,38,255
11,43,54,54,54,255
11,44,90,90,90,255
11,45,103,103,103,255
11,46,146,146,146,255
11,47,224,224,224,255
12,10,254,254,254,255
12,11,230,230,230,255
12,12,178,178,178,255
12,13,60,60,60,255
12,14,21,21,21,255
12,15,70,70,70,255
12,16,72,72,72,255
12,17,64,64,64,255
12,18,45,45,45,255
12,19,36,36,36,255
12,20,54,54,54,255
12,21,85,85,85,255
12,22,109,109,109,255
12,23,126,126,126,255
12,24,133,133,133,255
12,25,130,130,130,255
12,26,130,130,130,255
12,27,136,136,136,255
12,28,124,124,124,255
12,29,102,102,102,255
12,30,86,86,86,255
12,31,71,71,71,255
12,32,58,58,58,255
12,33,52,52,52,255
12,34,48,48,48,255
12,35,42,42,42,255
12,36,39,39,39,255
12,37,36,36,36,255
12,38,30,30,30,255
12,39,22,22,22,255
12,40,20,20,20,255
12,41,25,25,25,255
12,42,23,23,23,255
12,43,30,30,30,255
12,44,67,67,67,255
12,45,106,106,106,255
