x,y,red,green,blue,alpha
5,60,254,254,254,255
6,35,254,254,254,255
6,36,244,244,244,255
6,37,229,229,229,255
6,38,219,219,219,255
6,39,217,217,217,255
6,40,227,227,227,255
6,41,240,240,240,255
6,42,251,251,251,255
6,59,254,254,254,255
6,60,251,251,251,255
7,33,246,246,246,255
7,34,217,217,217,255
7,35,186,186,186,255
7,36,159,159,159,255
7,37,152,152,152,255
7,38,162,162,162,255
7,39,157,157,157,255
7,40,163,163,163,255
7,41,192,192,192,255
7,42,223,223,223,255
7,43,251,251,251,255
7,59,254,254,254,255
7,60,251,251,251,255
8,32,245,245,245,255
8,33,196,196,196,255
8,34,118,118,118,255
8,35,90,90,90,255
8,36,125,125,125,255
8,37,132,132,132,255
8,38,114,114,114,255
8,39,124,124,124,255
8,40,146,146,146,255
8,41,157,157,157,255
8,42,171,171,171,255
8,43,203,203,203,255
8,44,249,249,249,255
8,57,254,254,254,255
8,58,254,254,254,255
8,59,254,254,254,255
8,60,245,245,245,255
9,21,254,254,254,255
9,22,254,254,254,255
9,29,254,254,254,255
9,30,253,253,253,255
9,31,254,254,254,255
9,32,235,235,235,255
9,33,164,164,164,255
9,34,79,79,79,255
9,35,96,96,96,255
9,36,118,118,118,255
9,37,79,79,79,255
9,38,69,69,69,255
9,39,103,103,103,255
9,40,156,156,156,255
9,41,169,169,169,255
9,42,162,162,162,255
9,43,150,150,150,255
9,44,195,195,195,255
9,56,254,254,254,255
9,57,252,252,252,255
9,58,252,252,252,255
9,59,253,253,253,255
9,60,239,239,239,255
10,13,253,253,253,255
10,14,244,244,244,255
10,15,251,251,251,255
10,16,244,244,244,255
10,17,251,251,251,255
10,18,254,254,254,255
10,20,246,246,246,255
10,21,233,233,233,255
10,22,237,237,237,255
10,23,245,245,245,255
10,24,243,243,243,255
10,25,234,234,234,255
10,26,223,223,223,255
10,27,215,215,215,255
10,28,210,210,210,255
10,29,205,205,205,255
10,30,203,203,203,255
10,31,206,206,206,255
10,32,203,203,203,255
10,33,158,158,158,255
10,34,91,91,91,255
10,35,96,96,96,255
10,36,91,91,91,255
10,37,65,65,65,255
10,38,86,86,86,255
10,39,113,113,113,255
10,40,143,143,143,255
10,41,162,162,162,255
10,42,159,159,159,255
10,43,123,123,123,255
10,44,158,158,158,255
10,55,254,254,254,255
10,56,252,252,252,255
10,57,246,246,246,255
10,58,242,242,242,255
10,59,244,244,244,255
10,60,236,236,236,255
