x,y,hex
5,60,#fefefe
6,35,#fefefe
6,36,#f4f4f4
6,37,#e5e5e5
6,38,#dbdbdb
6,39,#d9d9d9
6,40,#e3e3e3
6,41,#f0f0f0
6,42,#fbfbfb
6,59,#fefefe
6,60,#fbfbfb
7,33,#f6f6f6
7,34,#d9d9d9
7,35,#bababa
7,36,#9f9f9f
7,37,#989898
7,38,#a2a2a2
7,39,#9d9d9d
7,40,#a3a3a3
7,41,#c0c0c0
7,42,#dfdfdf
7,43,#fbfbfb
7,59,#fefefe
7,60,#fbfbfb
8,32,#f5f5f5
8,33,#c4c4c4
8,34,#767676
8,35,#5a5a5a
8,36,#7d7d7d
8,37,#848484
8,38,#727272
8,39,#7c7c7c
8,40,#929292
8,41,#9d9d9d
8,42,#ababab
8,43,#cbcbcb
8,44,#f9f9f9
8,57,#fefefe
8,58,#fefefe
8,59,#fefefe
8,60,#f5f5f5
9,21,#fefefe
9,22,#fefefe
9,29,#fefefe
9,30,#fdfdfd
9,31,#fefefe
9,32,#ebebeb
9,33,#a4a4a4
9,34,#4f4f4f
9,35,#606060
9,36,#767676
9,37,#4f4f4f
9,38,#454545
9,39,#676767
9,40,#9c9c9c
9,41,#a9a9a9
9,42,#a2a2a2
9,43,#969696
9,44,#c3c3c3
9,56,#fefefe
9,57,#fcfcfc
9,58,#fcfcfc
9,59,#fdfdfd
9,60,#efefef
10,13,#fdfdfd
10,14,#f4f4f4
10,15,#fbfbfb
10,16,#f4f4f4
10,17,#fbfbfb
10,18,#fefefe
10,20,#f6f6f6
10,21,#e9e9e9
10,22,#ededed
10,23,#f5f5f5
10,24,#f3f3f3
10,25,#eaeaea
10,26,#dfdfdf
10,27,#d7d7d7
10,28,#d2d2d2
10,29,#cdcdcd
10,30,#cbcbcb
10,31,#cecece
10,32,#cbcbcb
10,33,#9e9e9e
10,34,#5b5b5b
10,35,#606060
10,36,#5b5b5b
10,37,#414141
10,38,#565656
10,39,#717171
10,40,#8f8f8f
10,41,#a2a2a2
10,42,#9f9f9f
10,43,#7b7b7b
10,44,#9e9e9e
10,55,#fefefe
10,56,#fcfcfc
10,57,#f6f6f6
10,58,#f2f2f2
10,59,#f4f4f4
10,60,#ececec
11,13,#e4e4e4
11,14,#a2a2a2
11,15,#aeaeae
11,16,#949494
11,17,#9d9d9d
11,18,#b2b2b2
11,19,#b7b7b7
11,20,#9f9f9f
11,21,#8c8c8c
11,22,#979797
11,23,#a3a3a3
11,24,#9c9c9c
11,25,#8c8c8c
11,26,#828282
11,27,#797979
11,28,#6e6e6e
11,29,#6d6d6d
11,30,#737373
11,31,#818181
11,32,#9c9c9c
11,33,#9f9f9f
11,34,#828282
11,35,#757575
11,36,#717171
11,37,#787878
11,38,#888888
11,39,#878787
11,40,#848484
11,41,#8d8d8d
11,42,#8c8c8c
11,43,#7f7f7f
11,44,#b1b1b1
11,55,#fefefe
11,56,#fbfbfb
11,57,#f4f4f4
11,58,#eeeeee
11,59,#e7e7e7
11,60,#dedede
12,12,#dedede
12,13,#8f8f8f
12,14,#4b4b4b
12,15,#505050
12,16,#373737
12,17,#383838
12,18,#474747
12,19,#4f4f4f
12,20,#474747
12,21,#424242
12,22,#4c4c4c
12,23,#505050
12,24,#4b4b4b
12,25,#484848
12,26,#464646
12,27,#404040
12,28,#474747
12,29,#505050
12,30,#595959
12,31,#686868
12,32,#878787
12,33,#9d9d9d
12,34,#9a9a9a
12,35,#969696
12,36,#959595
12,37,#999999
12,38,#9c9c9c
12,39,#999999
12,40,#929292
12,41,#8d8d8d
12,42,#858585
12,43,#818181
12,44,#969696
12,45,#b4b4b4
